S. No,SKU,HSN,Tax
1,8906020580572-1,04063000,GST 5%
2,8904089920490-1,0403,GST 5%
3,8904089920629,0403,GST 5%
4,8904089921008,0403,GST 5%
5,8904089915137,04011000,GST 0%
6,4987176195722,96190010,GST 12%
7,8901725016258,19053100,GST 18%
8,8904057396166,04011000,GST 0%
9,8901052020485,090230,GST 5%
10,8901030972102,34054000,GST 18%
11,4987176190222,34012000,GST 18%
12,785018086917-1,20019000,GST 12%
13,785018086344-1,20019000,GST 12%
14,8901088206273,340590,GST 18%
15,8901786160501,09109100,GST 5%
16,8901786060504,09109100,GST 5%
17,8901786100507,09109100,GST 5%
18,8901786150502,09109100,GST 5%
19,8906003650094-1,09042211,GST 5%
20,8906003650094,09042211,GST 5%
21,8904422700826,04090000,GST 5%
22,8901042971148,091030,GST 5%
23,8901042954882,09109100,GST 5%
24,8901042954769,09109100,GST 5%
25,8901052022120,090230,GST 5%
26,8904422700215,04059020,GST 12%
27,8901042971490,19021100,GST 5%
28,8906111540751,19041090,GST 12%
29,8901157025286,380891,GST 18%
30,8906010360085,04059020,GST 12%
31,8904256000680,33061000,GST 18%
32,8906009079455,19053100,GST 18%
33,8901764072918,220210,GST 18%
34,8901764072277,220210,GST 18%
35,8901030962226,090230,GST 5%
36,8901052022113,090230,GST 5%
37,8906010366889,04059020,GST 12%
38,8901725125264,09092200,GST 5%
39,8901725125974,09092200,GST 5%
40,8904057396166-1,04011000,GST 0%
41,8904057396166-1-1,04011000,GST 0%
42,8904422700840,04090000,GST 5%
43,8901207045370-1,04090000,GST 5%
44,8901207045370,04090000,GST 5%
45,8901042954714,09109100,GST 5%
46,8905110003700,34054000,GST 18%
47,8901491101837,20052000,GST 12%
48,8901491504782,20052000,GST 12%
49,8901491101813,20052000,GST 12%
50,8901491101820,20052000,GST 12%
51,8901764362309,22029920,GST 12%
52,8901042954820,091030,GST 5%
53,8901052020409,090230,GST 5%
54,8901030882548,190190,GST 18%
54,89010308825488,190190,GST 5%
55,8905110003205,34054000,GST 18%
56,8901207043291,04090000,GST 5%
57,8901138509231,330499,GST 18%
58,8901088002851,35059000,GST 18%
59,8906003655372,09092200,GST 5%
60,8901052021482,090230,GST 5%
61,8906009079073,19053100,GST 18%
62,8906009073958,19053100,GST 18%
63,8901042954738,09109100,GST 5%
64,8901747002864,090230,GST 5%
65,8901030882586,090230,GST 5%
66,8901030779282,090230,GST 5%
67,8904089993715,0403,GST 5%
68,8901030783241,090230,GST 5%
69,8901052034598,090230,GST 5%
70,8904004403671,200819,GST 12%
71,8904246930072,09092200,GST 5%
72,8901063142015,19053100,GST 18%
73,8901042954790-1,09109100,GST 5%
74,8901747002093,090230,GST 5%
75,8901747002093-1,090230,GST 5%
76,8410125510438,15159000,GST 5%
77,8905110003687,34054000,GST 18%
78,8901042958347,09042211,GST 5%
79,8908001158381,330499,GST 18%
80,8901786030156,09109100,GST 5%
81,8901052021383,090230,GST 5%
82,8904422700222,04059020,GST 12%
83,8906020580572,04063000,GST 5%
84,8901725019594,09042211,GST 5%
85,8904083302100,0403,GST 5%
86,8901207025365,04090000,GST 5%
87,8909106009868,090230,GST 5%
88,8901030779312,090230,GST 5%
89,8904083307037,04069000,GST 12%
90,8901030876950,090230,GST 5%
91,8901042971483,19021100,GST 5%
92,8904089920490,0403,GST 5%
93,8904083302070,0403,GST 5%
94,8906010363260,04059020,GST 12%
95,8901622264011,04059020,GST 12%
96,8904083302292,0403,GST 5%
97,8904083310136,04069000,GST 12%
98,7622201756697,19053100,GST 18%
99,8904083306085,0403,GST 5%
100,8904083303039,0403,GST 5%
101,8906010366902,04059020,GST 12%
102,8906010360115,04059020,GST 12%
103,8901030194139,090230,GST 5%
104,8901042954813,09042211,GST 5%
105,8906021120678,09092200,GST 5%
106,8904083300045,04063000,GST 5%
107,8901030877520,090230,GST 5%
108,8901042958354,09042211,GST 5%
109,8901042954721,09109100,GST 5%
110,8901030807602,090230,GST 5%
111,8904422705357,04090000,GST 5%
112,8904083306047,0403,GST 5%
113,8901030992063,090230,GST 5%
114,8901764362804,20097100,GST 12%
115,8906021120555,09042211,GST 5%
116,89006627,17041000,GST 18%
117,8901042954790,09109100,GST 5%
118,8901052006809,090230,GST 5%
119,8901052005567,090230,GST 5%
120,8901030624230,090230,GST 5%
121,8909106008175,090230,GST 5%
122,8901786161003,09109100,GST 5%
123,8901440201533,21039090,GST 12%
124,8901786120505,09109100,GST 5%
125,8901042954837,09092200,GST 5%
126,8902979001724,040390,GST 5%
127,8906010360382,04059020,GST 12%
128,8906010366896,04059020,GST 12%
129,8904422700208,04059020,GST 12%
130,8904083300021,04063000,GST 5%
131,8901030404566,090230,GST 5%
132,8901052005604,090230,GST 5%
133,8904083310129,04069000,GST 12%
134,8904083314035,0403,GST 5%
135,8901725125332,091030,GST 5%
136,8901052030330,090230,GST 5%
137,8901786480500,09109100,GST 5%
138,8901786430208,09092200,GST 5%
139,8901042954745,09109100,GST 5%
140,840222000149,09109100,GST 5%
141,8901052021284-1,090230,GST 5%
142,8906021922081,04090000,GST 5%
143,8906020581135,09109100,GST 5%
144,8902080003136,220299,GST 12%
145,8906020581111,09042211,GST 5%
146,8902433008184,180690,GST 28%
147,8906016414904,040299,GST 5%
148,8906016412870,040299,GST 12%
149,8906016413808,040299,GST 12%
150,8901786430512,09092200,GST 5%
151,8901542001307,330499,GST 18%
152,785018086917,20019000,GST 12%
153,8906003650117,09042211,GST 5%
154,8906016413112,040299,GST 12%
155,8904256000741,33061000,GST 18%
156,8901052020294,090230,GST 5%
157,8901786490509,09109100,GST 5%
158,8906021120470,09109100,GST 5%
159,4987176200648,96190010,GST 12%
160,8901440023043,09042211,GST 5%
161,8901440023142,091030,GST 5%
162,8901440023067,09042211,GST 5%
163,785018086344,20019000,GST 12%
164,8904083302094,0403,GST 5%
165,8904083302063,0403,GST 5%
166,8906016413129,040390,GST 5%
167,8906016413051,040390,GST 5%
168,8901030962219,090230,GST 5%
169,8901042964294,09109100,GST 5%
170,4987176175366,34012000,GST 18%
171,8901725125233,09092200,GST 5%
172,4987176220172,820890,GST 18%
173,8904083307068,04069000,GST 12%
174,8901207048685,04090000,GST 5%
175,8904043907109,19021100,GST 5%
176,8901396040606,34025000,GST 18%
177,8904083300595,04059010,GST 12%
178,8904246912030,20019000,GST 12%
179,8906003650285,09042211,GST 5%
180,8906016414935,040299,GST 5%
181,8906021120463,09109100,GST 5%
182,4902430345286,96032100,GST 18%
183,793591133195,330499,GST 18%
184,8902979051071,040390,GST 5%
185,8904083300670,04059010,GST 12%
186,8904057395503,0403,GST 5%
187,8904422700819,04090000,GST 5%
188,8904246913433,20019000,GST 12%
189,8901440023098,09092200,GST 5%
190,8904083300540,04059010,GST 12%
191,8901440013099,09109100,GST 5%
192,8901207005527,04090000,GST 5%
193,8901030774980,09019000,GST 5%
194,8906010360054,04059020,GST 12%
195,8906016414225,040299,GST 12%
196,8904083300144,04059900,GST 5%
197,8906021125000,09109100,GST 5%
198,8901042954783,09109100,GST 5%
199,8901440201182,09109100,GST 5%
200,8901440023395,09042211,GST 5%
201,8901440023166,091030,GST 5%
202,8901440013501,09109100,GST 5%
203,8906021126458,09109100,GST 5%
204,8904083300519,04059010,GST 12%
205,8901042970998,09092200,GST 5%
206,8906021123129,091030,GST 5%
207,8904209303158,09109100,GST 5%
208,8901440201052,09109100,GST 5%
209,8906021123136,091030,GST 5%
210,8906021121118,09109100,GST 5%
211,8901440023227,091030,GST 5%
212,8904209303134,09109100,GST 5%
213,8901042956985,091030,GST 5%
214,8904209303127,09109100,GST 5%
215,8904209300836,09109100,GST 5%
216,8904018605252,21069090,GST 5%
217,8906010360016,04059020,GST 12%
218,8904089922227,04059020,GST 12%
219,8906003655389,09092200,GST 5%
220,8906016414911,040299,GST 5%
221,8906016415185,040390,GST 5%
222,8901622264028,04059020,GST 12%
223,8904083300625,04059010,GST 12%
224,8906021120661,09092200,GST 5%
225,8901030779688,090230,GST 5%
226,8901440023111,09092200,GST 5%
227,8901440023159,091030,GST 5%
228,8901440203544,09109100,GST 5%
229,8901440202042,09109100,GST 5%
230,8906169990300,09109100,GST 5%
231,8906169990256,09109100,GST 5%
232,8906169990270,09109100,GST 5%
233,8906169990218,09019000,GST 5%
234,8901725017514,33074900,GST 5%
235,8901725017521,33074900,GST 5%
236,8904166746456,33074900,GST 5%
